x y theta
1.022996415267055781e+01 4.329393995392186945e+00 9.822556703727034488e-01
1.039370211734992999e+01 4.580762492727170176e+00 1.004638844553660926e+00
1.055199791100353757e+01 4.835594303678663053e+00 1.025262117125122163e+00
1.070524245362933691e+01 5.093496346073376202e+00 1.044047653980129331e+00
1.085386453225858538e+01 5.354090554431533810e+00 1.060925013415958906e+00
1.099832707917012264e+01 5.617014319192776384e+00 1.075831294129125926e+00
1.113912330065465994e+01 5.881920302183071492e+00 1.088711253871853524e+00
1.127677270748332283e+01 6.148475671679880961e+00 1.099517402726867932e+00
1.141181708784688631e+01 6.416360812393010704e+00 1.108210074829601322e+00
1.154481645308273841e+01 6.685267575664911810e+00 1.114757482096924157e+00
1.167634497659256709e+01 6.954897143283172767e+00 1.119135753126032196e+00
1.180698693750073325e+01 7.224957584617897055e+00 1.121328959924852819e+00
1.193733267325182901e+01 7.495161191498903364e+00 1.121329134546505957e+00
1.206797453984408719e+01 7.765221678480278555e+00 1.119136277046074879e+00
1.219950287499356278e+01 8.034851338025445600e+00 1.114758355479807284e+00
1.233250195837320184e+01 8.303758240765096943e+00 1.108211297946752216e+00
1.246754596422151096e+01 8.571643570361107578e+00 1.099518975952733291e+00
1.260519490501703288e+01 8.838199180623879769e+00 1.088713177678420019e+00
1.274599057041647576e+01 9.103105459297950119e+00 1.075833569078978869e+00
1.289045247300559538e+01 9.366029578228451058e+00 1.060927640153956464e+00
1.303907382126476655e+01 9.626624203301105354e+00 1.044050633223792657e+00
1.319231755006505935e+01 9.884526729459503613e+00 1.025265449653855798e+00
1.335061244945986836e+01 1.013935909611721442e+01 1.004642531196941579e+00
1.351434944292488005e+01 1.039072822632219406e+01 9.822597119973935920e-01
1.368387807587540195e+01 1.063822711910108509e+01 9.582020373280818459e-01
1.385950328357824546e+01 1.088143660862230711e+01 9.325615453251715481e-01
1.404148251380341250e+01 1.111992778640886037e+01 9.054370083498053390e-01
1.423002328310061948e+01 1.135326506418555859e+01 8.769336311395424799e-01
1.442528124589364147e+01 1.158100983558646213e+01 8.471627036080645601e-01
1.462735885224727639e+01 1.180272467553616167e+01 8.162412069944758874e-01
1.483630466293252503e+01 1.201797799742348793e+01 7.842913730313160192e-01
1.505211337925541670e+01 1.222634907105103963e+01 7.514401968637991480e-01
1.527472663021239363e+01 1.242743328963483052e+01 7.178189055759776060e-01
1.550403454131757464e+01 1.262084756267605989e+01 6.835623853214516377e-01
1.573987808857242143e+01 1.280623570406364387e+01 6.488085711723731164e-01
1.598205221837827317e+01 1.298327368186313535e+01 6.136978048449257539e-01
1.623030969074800822e+01 1.315167459826125018e+01 5.783721663873777619e-01
1.648436558007354691e+01 1.331119327516439554e+01 5.429747866869950590e-01
1.674390234609539263e+01 1.346163033281328936e+01 5.076491482294470670e-01
1.700857536869047948e+01 1.360283566501053798e+01 4.725383819019996490e-01
1.727801882460757454e+01 1.373471123443999709e+01 4.377845677529211277e-01
1.755185177310075062e+01 1.385721313414372879e+01 4.035280474983951593e-01
1.782968431105688367e+01 1.397035288541595222e+01 3.699067562105736173e-01
1.811112365691685255e+01 1.407419796699204895e+01 3.370555800430566906e-01
1.839578002639495935e+01 1.416887159427012399e+01 3.051057460798968224e-01
1.868327217137342444e+01 1.425455178929333933e+01 2.741842494663081498e-01
1.897323246581282774e+01 1.433146980137858328e+01 2.444133219348302022e-01
1.926531143831106974e+01 1.439990795383606681e+01 2.159099447245673153e-01
1.955918166917332357e+01 1.446019700365713412e+01 1.887854077492011340e-01
1.985454098957840685e+01 1.451271310807937276e+01 1.631449157462908917e-01
2.015111494070919917e+01 1.455787449454524562e+01 1.390872410769791456e-01
2.044865847069399933e+01 1.459613792895921947e+01 1.167044218774312136e-01
2.074695686614029100e+01 1.462799507172111468e+01 9.608150342051695325e-02
2.104582593234489707e+01 1.465396880232507115e+01 7.729631985057998367e-02
2.134511145152105627e+01 1.467460958202417665e+01 6.041931292041616275e-02
2.164468796135604123e+01 1.469049191088794437e+01 4.551338399539386903e-02
2.194445690683276950e+01 1.470221092125515305e+01 3.263377539595266330e-02
2.224434422659119903e+01 1.471037913481715798e+01 2.182797712163945386e-02
2.254429744136446345e+01 1.471562339601439717e+01 1.313565512762042420e-02
2.284428231647926211e+01 1.471858198067864798e+01 6.588597594565332588e-03
2.314427917338828422e+01 1.471990186640988618e+01 2.210676028297760796e-03
2.344427892704849725e+01 1.472023614045716577e+01 1.781852786677737277e-05
