x_dot y_dot theta_dot
1.986349381878593778e+00 2.248202867427788298e+00 2.977128692608905780e-01
1.918547161055587758e+00 2.306334058805346920e+00 2.850373575886102628e-01
1.852037604400040838e+00 2.360075573342548250e+00 2.712489464546472551e-01
1.787347367258292685e+00 2.409437566892914884e+00 2.564084877614143387e-01
1.724986595958728275e+00 2.454469646127798388e+00 2.405803054158131560e-01
1.665443408889689225e+00 2.495255147632379877e+00 2.238317418095739642e-01
1.609179160300048261e+00 2.531904901463724045e+00 2.062327257146131243e-01
1.556624501332032340e+00 2.564550674456015145e+00 1.878553685500714276e-01
1.508176218110252265e+00 2.593338484488027174e+00 1.687735943582960585e-01
1.464194796897930306e+00 2.618421966898579978e+00 1.490628071316707770e-01
1.425002642461664637e+00 2.639955959666234975e+00 1.287995974272755362e-01
1.390882858496763630e+00 2.658090456312551808e+00 1.080614885501439831e-01
1.362078488488041250e+00 2.672965056112431181e+00 8.692672102733392525e-02
1.338792111593948952e+00 2.684704021290580833e+00 6.547407267322732927e-02
1.321185690633173149e+00 2.693412031395520767e+00 4.378271029108122409e-02
1.309380577388235212e+00 2.699170706635364070e+00 2.193206798820696371e-02
1.303457593427957084e+00 2.702035955004114864e+00 1.746216530894562654e-06
1.303457121593951884e+00 2.702036182615993098e+00 -2.192857500431001291e-02
1.309379163238423738e+00 2.699171392645721923e+00 -4.377921566267590353e-02
1.321183338252704065e+00 2.693413185295460810e+00 -6.547057533055093692e-02
1.338788827885414090e+00 2.684705658788165916e+00 -8.692321994019033826e-02
1.362074283308592149e+00 2.672967198966232250e+00 -1.080579827431318585e-01
1.390877744842315522e+00 2.658093132097209654e+00 -1.287960859944120295e-01
1.424996636690554874e+00 2.639959201468955907e+00 -1.490592892502230482e-01
1.464187918984404924e+00 2.618425812945655906e+00 -1.687700693016387088e-01
1.508168491916312304e+00 2.593342977700959118e+00 -1.878518356993696126e-01
1.556615954884577047e+00 2.564555861937652725e+00 -2.062291845691424375e-01
1.609169826058920449e+00 2.531910833916056980e+00 -2.238281919954795141e-01
1.665433323991274195e+00 2.495261878709202019e+00 -2.405767466931175991e-01
1.724975802419242754e+00 2.454477231727377085e+00 -2.564049200291024233e-01
1.787335912120892045e+00 2.409446064397993581e+00 -2.712453697536618136e-01
1.852025539810432608e+00 2.360085040817359037e+00 -2.850337721026289239e-01
1.918534544252040508e+00 2.306344554161761984e+00 -2.977092753147793092e-01
1.986336275084039205e+00 2.248214447575066721e+00 -3.092149661358865598e-01
2.054893821789146369e+00 2.185729027389442081e+00 -3.194983396315987378e-01
2.123666900707449567e+00 2.118971187826681479e+00 -3.285117616751690450e-01
2.192119249159299788e+00 2.048075486271262236e+00 -3.362129128782152532e-01
2.259726359993199374e+00 1.973230036754936023e+00 -3.425652025452598504e-01
2.325983359581028864e+00 1.894677125779522076e+00 -3.475381414907853239e-01
2.390412809660662496e+00 1.812712497725498695e+00 -3.511076632744741244e-01
2.452572200323879237e+00 1.727683304948706811e+00 -3.532563845754798648e-01
2.512060899177707363e+00 1.639984767862948889e+00 -3.539737970038272508e-01
2.568526330903358357e+00 1.550055640116228206e+00 -3.532563845754798648e-01
2.621669181965843975e+00 1.458372620536515507e+00 -3.511076632744741244e-01
2.671247456169353551e+00 1.365443894090400789e+00 -3.475381414907853239e-01
2.717079246453689922e+00 1.271802016231554644e+00 -3.425652025452597393e-01
2.759044134517811386e+00 1.177996376812280976e+00 -3.362129128782153087e-01
2.797083179838484757e+00 1.084585489975147254e+00 -3.285117616751690450e-01
2.831197510514553706e+00 9.921293546993722456e-01 -3.194983396315985158e-01
2.861445577225855352e+00 9.011821173184647593e-01 -3.092149661358865043e-01
2.887939175820065429e+00 8.122852434728347060e-01 -2.977092753147793647e-01
2.910838381450370438e+00 7.259613743687661769e-01 -2.850337721026289239e-01
2.930345566196590479e+00 6.427090031048131591e-01 -2.712453697536618691e-01
