time,x,y,angular_z
13.3,2.227868836008959,-0.5995691378234566,-0.38447510330439866
13.32,2.2435802519844863,-0.6119444939726368,-0.3848720238530164
13.34,2.259195940054264,-0.6244404258651626,-0.385261183487488
13.36,2.2747148767975607,-0.6370563137121387,-0.38564273206356453
13.38,2.290136043676861,-0.6497915260000716,-0.3860168166136232
13.4,2.305458427159287,-0.6626454195952244,-0.3863835813974949
13.42,2.320681018836312,-0.6756173398479681,-0.3867431679523528
13.44,2.33580281554178,-0.6887066206971219,-0.3870957151419146
13.46,2.350822819468247,-0.7019125847742849,-0.3874413592040796
13.48,2.36574003828167,-0.7152345435081564,-0.3877802337986247
13.5,2.3805534852344468,-0.7286717972288339,-0.3881124700543689
13.52,2.3952621792768376,-0.7422236352720976,-0.38843819661398965
13.54,2.4098651451667763,-0.7558893360836724,-0.38875753968010873
13.56,2.424361413578089,-0.7696681673234592,-0.3890706230590077
13.58,2.438750021207148,-0.7835593859697513,-0.3893775682044991
13.6,2.4530300108779493,-0.797562238423409,-0.3896784942610706
13.62,2.467200431645429,-0.811675960611767,-0.38997351809192105
13.64,2.4812603388979815,-0.8258997780932432,-0.3902627543757168
13.66,2.4952087944579557,-0.8402329061614171,-0.3905463155643759
13.68,2.5090448666801843,-0.8546745499485761,-0.3908243119786653
13.7,2.5227676305497795,-0.8692239045299683,-0.3910968518339598
13.72,2.5363761677782115,-0.8838801550277626,-0.3913640412784925
13.74,2.5498695668979443,-0.8986424767149677,-0.39162598443176067
13.76,2.5632469233556305,-0.9135100351193034,-0.39188278342187355
13.78,2.5765073396038978,-0.928481986127028,-0.39213453842225837
13.8,2.58964992519173,-0.9435574760867137,-0.3923813476881438
13.82,2.602673796853453,-0.9587356419129758,-0.3926233075916016
13.84,2.615578078596356,-0.9740156111901478,-0.3928605126567937
13.86,2.628361901786947,-0.9893965022759044,-0.3930930555941227
13.88,2.6410244052358616,-1.0048774244048295,-0.3933210273342782
13.9,2.6535647352814156,-1.0204574777919002,-0.39354451705946136
13.92,2.665982045871922,-1.0361357537360112,-0.39376361224183487
13.94,2.678275498646616,-1.0519113347233515,-0.3939783986673072
13.96,2.6904442630152845,-1.0677832945306973,-0.39418896047198254
13.98,2.7024875162366575,-1.0837506983287195,-0.39439538017238046
14.02,2.726194237978565,-1.1159680561681713,-0.39479611540597653
14.04,2.7378561009490006,-1.1322160984490401,-0.39499058814226107
14.06,2.749389241819925,-1.1485557614055784,-0.39518123323787424
14.08,2.760792878226482,-1.1649860687249,-0.3953681255532612
14.1,2.772066236096818,-1.1815060361063539,-0.3955513385030462
14.12,2.7832085497218153,-1.198114671364339,-0.39573094408318416
14.14,2.7942190618236675,-1.2148109745310638,-0.39590701289795693
14.16,2.8050970236230737,-1.2315939379589418,-0.3960796141550203
14.18,2.8158416949054548,-1.2484625464231645,-0.39624881581485266
14.2,2.8264523440872793,-1.265415777226248,-0.39641468443062616
14.22,2.836928248278298,-1.282452600297872,-0.396577285296558
14.24,2.8472686933449745,-1.2995719782982686,-0.3967366824423993
14.26,2.857472973972163,-1.3167728667205554,-0.3968929386559298
14.28,2.86754039372366,-1.3340542139929954,-0.39704611550733676
14.3,2.877470265101658,-1.351414961581177,-0.3971962733727536
14.32,2.8872619096045358,-1.3688540440891026,-0.39734347143281856
14.34,2.896914657785864,-1.386370389364299,-0.3974877677887124
14.36,2.9064278493088342,-1.4039629185966784,-0.3976292193435171
14.38,2.915800833001987,-1.4216305464214563,-0.3977678819177573
14.4,2.9250329669132777,-1.4393721810209428,-0.39790381024668786
14.42,2.934123618363098,-1.4571867242262704,-0.3980370580016607
14.44,2.9430721639962467,-1.4750730716190317,-0.3981676778094509
14.46,2.951877989832875,-1.4930301126328407,-0.39829572127287033
14.48,2.9605404913184,-1.5110567306548113,-0.39842123899018256
14.5,2.9690590733724043,-1.5291518031269564,-0.3985442805742408
14.52,2.9774331504365152,-1.5473142016475,-0.39866489467168514
14.54,2.985662146521298,-1.5655427920721112,-0.39878312898096085
14.56,2.9937454952521327,-1.583836434615045,-0.398899030270824
14.58,3.0016826399141285,-1.6021939839502124,-0.3990126443980949
14.6,3.0094730334960222,-1.6206142893121473,-0.39912401632516425
14.62,3.017116138733135,-1.639096194596901,-0.39923319013708775
14.64,3.024611428149343,-1.657638538462839,-0.39934020905878204
14.66,3.0319583840980915,-1.6762401544313545,-0.399445115471068
14.68,3.0391564988024533,-1.6948998709874887,-0.39954795092724277
14.7,3.046205274394239,-1.713616511680465,-0.39964875616884604
14.72,3.05310422295217,-1.7323888952241286,-0.39974757114162945
14.74,3.059852866539103,-1.7512158355972902,-0.3998444350103986
14.76,3.066450737238339,-1.7700961421439851,-0.3999393861743188
14.78,3.0728973771889976,-1.7890286196736276,-0.4000324622819378
14.8,3.079192338620477,-1.8080120685610768,-0.40012370024518057
14.82,3.085335183885999,-1.827045284846601,-0.4002131362538215
14.84,3.0913254854952483,-1.8461270603357474,-0.4003008057898571
14.86,3.097162826146107,-1.8652561826991096,-0.40038674363994486
14.88,3.1028467987554937,-1.8844314355719938,-0.4004709839105073
14.9,3.10837700648931,-1.9036515986539897,-0.40055356003957454
14.92,3.1137530627915004,-1.9229154478084314,-0.400634504810468
14.94,3.1189745914122304,-1.9422217551617582,-0.4007138503644018
14.96,3.1240412264351853,-1.9615692892027625,-0.40079162821200975
14.98,3.1289526123039964,-1.9809568148817434,-0.4008678692471435
15.02,3.138308266305954,-2.019846883856453,-0.4010158614373572
15.04,3.142751875351825,-2.0393469402510767,-0.40108767139796825
15.06,3.1470389171158213,-2.058882014678989,-0.4011580621801711
15.08,3.151169088207499,-2.0784508558813393,-0.40122706176457973
15.1,3.1551420957368492,-2.0980522096533276,-0.40129469758231096
15.12,3.1589576573347413,-2.1176848189425312,-0.40136099652632756
15.14,3.162615501172531,-2.137347423947175,-0.40142598496249876
15.16,3.1661153659808265,-2.157038762214245,-0.40148968873811086
